Query,Relevant
"""I need a late-night spot with a lively bar scene that also serves gluten-free small plates and mocktails.""",False
"""Looking for a place that offers a keto-friendly dessert menu and a cozy lounge area for board games.""",False
"""Where can I find a restaurant that provides halal options, has a separate kids’ play area, and free WiFi?""",False
"""I’m searching for a date spot that has romantic lighting, fresh seafood, and a jazz band on weekends.""",True
"""Is there a café with rotating art exhibitions, vegan pastries, and an outdoor patio for my dog?""",False
"""I need a spot for a business lunch that has private booths, a sophisticated cocktail menu, and quick service.""",False
"""Which restaurant does an all-day breakfast with farm-to-table ingredients and a scenic water view?""",False
"""I’m organizing a group brunch for fitness enthusiasts—somewhere that offers protein-packed meals and fresh juice blends.""",True
"""Looking for a place that has authentic Middle Eastern mezze, belly dancing performances, and hookah options.""",False
"""Is there a spot known for serving gourmet mac and cheese with truffle oil and also offers craft beer flights?""",False
"""Which restaurant hosts trivia nights, has a range of vegetarian entrées, and a decent wine selection?""",True
"""I’m looking for a sushi bar that does omakase, has a sake-tasting menu, and offers private tatami rooms.""",False
"""Need a place for my book club that serves creative tapas, features live acoustic music, and doesn’t mind if we linger.""",True
"""Is there a bakery that specializes in low-sugar pastries, has gluten-free bread, and still tastes indulgent?""",False
"""Where can I get authentic Haitian cuisine, plus an option for private event space for a small wedding rehearsal?""",False
"""I want a local diner that serves all-day brunch, homemade pies, and can accommodate large families on weekends.""",True
"""Is there an upscale steakhouse that also serves premium vegetarian dishes and tableside dessert presentations?""",False
"""Looking for a Thai restaurant with a separate peanut-free prep area, extensive tea selections, and cozy booths.""",False
"""I’d love a spot for watching sports that offers craft cocktails, sliders made from wagyu beef, and Sunday brunch specials.""",False
"""Trying to find an authentic Spanish tapas bar that has flamenco shows, a curated sherry list, and fresh churros for dessert.""",True
